lr-Adam,lr-Adam-1,step,aeloss_step,train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,discloss_step,train/disc_loss,train/logits_real,train/logits_fake,epoch,aeloss_epoch,discloss_epoch,val/rec_loss,val/total_loss,val/logvar,val/kl_loss,val/nll_loss,val/d_weight,val/disc_factor,val/g_loss,val/disc_loss,val/logits_real,val/logits_fake,valid_mse_epoch,valid_mae_epoch
6.035949506037323e-07,6.035949506037323e-07,12098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12098,39.37029266357422,629.9246826171875,0.0,3344.23291015625,629.9213256835938,0.03844734653830528,5000.0,0.0,1.0325692892074585,0.0,0.0,-1.0627588033676147,-1.0325692892074585,1,,,,,,,,,,,,,,,
6.063391877058178e-07,6.063391877058178e-07,12425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12425,30.40056610107422,486.4090576171875,0.0,3478.66943359375,486.40557861328125,0.02968784049153328,2627.63134765625,0.0,1.0254868268966675,0.0,0.0,-1.0352877378463745,-1.0254868268966675,1,,,,,,,,,,,,,,,
6.092206366630078e-07,6.092206366630078e-07,12752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12752,45.495758056640625,727.93212890625,0.0,3567.7333984375,727.9285888671875,0.0444292351603508,4507.041015625,0.0,1.0653475522994995,0.0,0.0,-1.0818175077438354,-1.0653475522994995,1,,,,,,,,,,,,,,,
6.119648737650934e-07,6.119648737650934e-07,13079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13079,32.105350494384766,513.6856079101562,0.0,3532.64111328125,513.6820678710938,0.03135266527533531,1680.7166748046875,0.0,0.9912283420562744,0.0,0.0,-1.0271673202514648,-0.9912283420562744,1,,,,,,,,,,,,,,,
6.14709110867179e-07,6.14709110867179e-07,13406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13406,34.699893951416016,555.1983032226562,0.0,3533.16748046875,555.1947631835938,0.03388639912009239,5000.0,0.0,1.0281221866607666,0.0,0.0,-1.0700345039367676,-1.0281221866607666,1,,,,,,,,,,,,,,,
6.17590559824369e-07,6.17590559824369e-07,13733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13733,26.20975685119629,419.3561096191406,0.0,3557.94091796875,419.3525390625,0.025595247745513916,3253.831298828125,0.0,1.0379552841186523,0.0,0.0,-1.0488241910934448,-1.0379552841186523,1,,,,,,,,,,,,,,,
6.203347969264546e-07,6.203347969264546e-07,14060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14060,41.06852340698242,657.0963745117188,0.0,3625.05029296875,657.0927734375,0.04010576009750366,5000.0,0.0,1.0677926540374756,0.0,0.0,-1.0786422491073608,-1.0677926540374756,1,,,,,,,,,,,,,,,
6.232162458836444e-07,6.232162458836444e-07,14387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14387,30.293067932128906,484.6890869140625,0.0,3623.56201171875,484.6854553222656,0.029582852497696877,5000.0,0.0,1.0517040491104126,0.0,0.0,-1.0554763078689575,-1.0517040491104126,1,,,,,,,,,,,,,,,
6.259604829857301e-07,6.259604829857301e-07,14714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14714,33.19678497314453,531.1485595703125,0.0,3900.305419921875,531.1446533203125,0.032418496906757355,2439.213623046875,0.0,1.0542970895767212,0.0,0.0,-1.0662288665771484,-1.0542970895767212,1,,,,,,,,,,,,,,,
6.288419319429199e-07,6.288419319429199e-07,15041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15041,28.9016170501709,462.4258728027344,0.0,3734.8818359375,462.4221496582031,0.028224008157849312,1367.5782470703125,0.0,1.0036109685897827,0.0,0.0,-1.043173909187317,-1.0036109685897827,1,,,,,,,,,,,,,,,
6.315861690450056e-07,6.315861690450056e-07,15368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15368,22.66520881652832,362.6433410644531,0.0,3758.7568359375,362.63958740234375,0.022133763879537582,1759.018798828125,0.0,1.0173988342285156,0.0,0.0,-1.022434949874878,-1.0173988342285156,1,,,,,,,,,,,,,,,
6.344676180021955e-07,6.344676180021955e-07,15695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15695,41.50386428833008,664.0618286132812,0.0,3561.49658203125,664.0582885742188,0.04053090140223503,2973.769287109375,0.0,1.075340747833252,0.0,0.0,-1.090952754020691,-1.075340747833252,1,,,,,,,,,,,,,,,
6.372118551042811e-07,6.372118551042811e-07,16022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16022,32.406005859375,518.49609375,0.0,3754.08740234375,518.4923095703125,0.031646259129047394,3051.70263671875,0.0,1.0593150854110718,0.0,0.0,-1.0715947151184082,-1.0593150854110718,1,,,,,,,,,,,,,,,
6.399560922063667e-07,6.399560922063667e-07,16349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16349,34.1825065612793,546.9201049804688,0.0,3750.2080078125,546.9163818359375,0.03338112682104111,3895.1953125,0.0,1.0468289852142334,0.0,0.0,-1.0731191635131836,-1.0468289852142334,1,,,,,,,,,,,,,,,
6.428375411635567e-07,6.428375411635567e-07,16676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16676,34.54033279418945,552.6453247070312,0.0,4053.86865234375,552.6412963867188,0.03373054787516594,3504.75732421875,0.0,1.0352833271026611,0.0,0.0,-1.043713092803955,-1.0352833271026611,1,,,,,,,,,,,,,,,
6.455817782656422e-07,6.455817782656422e-07,17003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17003,28.01654815673828,448.2647705078125,0.0,4078.34814453125,448.26068115234375,0.02735966071486473,2363.152587890625,0.0,1.0453605651855469,0.0,0.0,-1.059418797492981,-1.0453605651855469,1,,,,,,,,,,,,,,,
6.484632272228321e-07,6.484632272228321e-07,17330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17330,22.763187408447266,364.21099853515625,0.0,3970.69775390625,364.20703125,0.022229433059692383,5000.0,0.0,1.0199307203292847,0.0,0.0,-1.0397053956985474,-1.0199307203292847,1,,,,,,,,,,,,,,,
6.512074643249178e-07,6.512074643249178e-07,17657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17657,27.240253448486328,435.84405517578125,0.0,4115.2900390625,435.8399353027344,0.026601558551192284,2661.254150390625,0.0,1.0070197582244873,0.0,0.0,-1.040453314781189,-1.0070197582244873,1,,,,,,,,,,,,,,,
6.540889132821076e-07,6.540889132821076e-07,17984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,17984,26.985872268676758,431.7739562988281,0.0,3879.39453125,431.77008056640625,0.026353154331445694,3554.755126953125,0.0,1.026304006576538,0.0,0.0,-1.0560442209243774,-1.026304006576538,1,,,,,,,,,,,,,,,
6.568331503841932e-07,6.568331503841932e-07,18311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
