lr-AdamW,step,train_loss_step,train/mae_step,train/avg_gt_step,train/relative_mae_step,epoch,train_loss_epoch,train/mae_epoch,train/avg_gt_epoch,train/relative_mae_epoch,val_loss_step,val/mae_step,val/avg_gt_step,val/relative_mae_step,val_loss_epoch,val/mae_epoch,val/avg_gt_epoch,val/relative_mae_epoch
,69,,,,,,,,,,0.0011754482984542847,0.023391572758555412,0.039159953594207764,0.5973338484764099,,,,
,70,,,,,,,,,,0.000888925394974649,0.02263135276734829,0.07243724912405014,0.31242695450782776,,,,
,71,,,,,,,,,,0.0012931115925312042,0.025403132662177086,0.09695577621459961,0.26200738549232483,,,,
,72,,,,,,,,,,0.0009484774782322347,0.0208047553896904,0.08865968883037567,0.23465853929519653,,,,
,73,,,,,,,,,,0.000832539692055434,0.017933595925569534,0.05721943825483322,0.31341785192489624,,,,
,74,,,,,,,,,,0.0012297992361709476,0.02543463371694088,0.025477152317762375,0.9983307123184204,,,,
,75,,,,,,,,,,0.0007095210603438318,0.01857544481754303,0.06866084039211273,0.2705391049385071,,,,
,76,,,,,,,,,,0.0006093188421800733,0.016086256131529808,0.11188463866710663,0.1437753587961197,,,,
,77,,,,,,,,,,0.0009192542056553066,0.02094171941280365,0.10694815963506699,0.19581185281276703,,,,
,78,,,,,,,,,,0.0016461126506328583,0.027929704636335373,0.08197197318077087,0.34072256088256836,,,,
,79,,,,,,,,,,0.0005124749150127172,0.016560789197683334,0.07832591235637665,0.21143433451652527,,,,
,80,,,,,,,,,,0.001539945020340383,0.03018708899617195,0.07550571858882904,0.3997986614704132,,,,
,81,,,,,,,,,,0.0005291341803967953,0.017478836700320244,0.06541398167610168,0.26720333099365234,,,,
,82,,,,,,,,,,0.0009136360022239387,0.023945879191160202,0.1331549882888794,0.17983461916446686,,,,
,83,,,,,,,,,,0.00028399628354236484,0.013247921131551266,0.08672043681144714,0.15276582539081573,,,,
,84,,,,,,,,,,0.0011200672015547752,0.021231692284345627,0.053386859595775604,0.39769503474235535,,,,
,849,,,,,24,,,,,,,,,0.0009363757562823594,0.021340828388929367,0.07917174696922302,0.3217706084251404
,849,,,,,24,0.0014117925893515348,0.025314390659332275,0.09669741988182068,0.2639017403125763,,,,,,,,
0.00033330308529945556,857,,,,,,,,,,,,,,,,,
0.00033330308529945556,857,,,,,,,,,,,,,,,,,
0.00033330308529945556,857,,,,,,,,,,,,,,,,,
0.00033330308529945556,857,,,,,,,,,,,,,,,,,
,857,0.0010861202608793974,0.027201347053050995,0.09175624698400497,0.29645222425460815,25,,,,,,,,,,,,
,883,,,,,25,0.0010689384071156383,0.021650200709700584,0.09669741988182068,0.22716805338859558,,,,,,,,
0.0003422867513611615,890,,,,,,,,,,,,,,,,,
0.0003422867513611615,890,,,,,,,,,,,,,,,,,
0.0003422867513611615,890,,,,,,,,,,,,,,,,,
0.0003422867513611615,890,,,,,,,,,,,,,,,,,
,890,0.0008828439167700708,0.022344617173075676,0.11099325865507126,0.20131506025791168,26,,,,,,,,,,,,
,917,,,,,26,0.0009232053998857737,0.019023103639483452,0.09669741988182068,0.19864052534103394,,,,,,,,
0.0003512704174228676,923,,,,,,,,,,,,,,,,,
0.0003512704174228676,923,,,,,,,,,,,,,,,,,
0.0003512704174228676,923,,,,,,,,,,,,,,,,,
0.0003512704174228676,923,,,,,,,,,,,,,,,,,
,923,0.0016732816584408283,0.020516280084848404,0.08698312938213348,0.2358650267124176,27,,,,,,,,,,,,
,951,,,,,27,0.0008991100476123393,0.018443260341882706,0.09669743478298187,0.19235506653785706,,,,,,,,
0.00036025408348457354,956,,,,,,,,,,,,,,,,,
0.00036025408348457354,956,,,,,,,,,,,,,,,,,
0.00036025408348457354,956,,,,,,,,,,,,,,,,,
0.00036025408348457354,956,,,,,,,,,,,,,,,,,
,956,0.001416260376572609,0.0322200283408165,0.09349345415830612,0.344623327255249,28,,,,,,,,,,,,
,985,,,,,28,0.0009170533157885075,0.01875751093029976,0.09669741988182068,0.1964513510465622,,,,,,,,
0.00036923774954627955,989,,,,,,,,,,,,,,,,,
0.00036923774954627955,989,,,,,,,,,,,,,,,,,
0.00036923774954627955,989,,,,,,,,,,,,,,,,,
0.00036923774954627955,989,,,,,,,,,,,,,,,,,
,989,0.003679639659821987,0.05164862796664238,0.08379923552274704,0.6163375973701477,29,,,,,,,,,,,,
,85,,,,,,,,,,0.004251475911587477,0.05107472464442253,0.09195023030042648,0.5554604530334473,,,,
,86,,,,,,,,,,0.000946217798627913,0.02655119262635708,0.039159953594207764,0.6780188083648682,,,,
,87,,,,,,,,,,0.001544380560517311,0.03501829504966736,0.07243724912405014,0.48342931270599365,,,,
,88,,,,,,,,,,0.005571247544139624,0.05575696751475334,0.09695577621459961,0.5750762224197388,,,,
,89,,,,,,,,,,0.002408221596851945,0.042336877435445786,0.08865968883037567,0.4775210916996002,,,,
,90,,,,,,,,,,0.0014391964068636298,0.03266822546720505,0.05721943825483322,0.570928692817688,,,,
,91,,,,,,,,,,0.0006314709316939116,0.020581401884555817,0.025477152317762375,0.8078373074531555,,,,
,92,,,,,,,,,,0.0017833090387284756,0.03562403842806816,0.06866084039211273,0.5188406109809875,,,,
,93,,,,,,,,,,0.0031769515480846167,0.05051679536700249,0.11188463866710663,0.4515078365802765,,,,
,94,,,,,,,,,,0.005798169877380133,0.0555754117667675,0.10694815963506699,0.5196480751037598,,,,
,95,,,,,,,,,,0.0019588633440434933,0.03554728627204895,0.08197197318077087,0.4336516559123993,,,,
,96,,,,,,,,,,0.0023320303298532963,0.039969511330127716,0.07832591235637665,0.5102973580360413,,,,
,97,,,,,,,,,,0.002355395583435893,0.037871234118938446,0.07550571858882904,0.5015677213668823,,,,
